action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7806183,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,,,CHEMBL1909046,,,,CHEMBL822,TERBINAFINE,CHEMBL822,,0,,1540201,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7806250,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,,,CHEMBL1909046,,,,CHEMBL1355736,THEOPHYLLINE,CHEMBL190,,0,,1540209,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7806707,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,COc1cccc(C2(O)CCCCC2CN(C)C)c1,,,CHEMBL1909046,,,,CHEMBL1237044,TRAMADOL,CHEMBL1237044,,0,,1540233,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7806779,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,,,CHEMBL1909046,,,,CHEMBL165,RESVERATROL,CHEMBL165,,0,,1540112,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,,7806911,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,,,CHEMBL1909046,,,"{'bei': '18.52', 'le': '0.35', 'lle': '4.01', 'sei': '11.85'}",CHEMBL85,RISPERIDONE,CHEMBL85,7.60,0,http://www.openphacts.org/units/Nanomolar,1540120,=,15,1,=,,IC50,nM,,25.0,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,IC50,uM,UO_0000065,,0.025
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7807031,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2,,,CHEMBL1909046,,,,CHEMBL115769,,CHEMBL115769,,0,,1540128,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7807635,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,,,CHEMBL1909046,,,,CHEMBL2079587,STANOZOLOL,CHEMBL2079587,,0,,1540161,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7807749,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,,,CHEMBL1909046,,,,CHEMBL1243,SULFABENZAMIDE,CHEMBL1243,,0,,1540169,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7807895,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,Nc1ccc(S(N)(=O)=O)cc1,,,CHEMBL1909046,,,,CHEMBL21,SULFANILAMIDE,CHEMBL21,,0,,1540177,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7808020,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,,,CHEMBL1909046,,,,CHEMBL488025,EXISULIND,CHEMBL488025,,0,,1540185,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
